,c,a,p,r,scores,sdt_accuracy,sdt_delta_accuracy,f,sdt_F1,sdt_delta_F1,sdt_precision,sdt_delta_precision,sdt_recall,sdt_delta_recall,num_bots,num_humans
twibot,C0,0.8664,0.8256,0.8657,"[(0.8165680473372781, 0.7467911318553092, 1.0, 0.8550434201736806), (0.8165680473372781, 0.7467911318553092, 1.0, 0.8550434201736806), (0.8165680473372781, 0.7467911318553092, 1.0, 0.8550434201736806), (0.8055790363482671, 0.7556109725685786, 0.946875, 0.8404993065187241), (0.8106508875739645, 0.7587064676616916, 0.953125, 0.8448753462603878)]",0.8165680473372781,-0.04983195266272189,0.8451746230710104,0.7587064676616916,-0.08646815540931885,1.0,0.1744,0.8550434201736806,-0.010656579826319401,,
botometer-feedback-2019,C1,0.81,0.84,0.7,"[[0.7706870799103809, 0.8666666666666668, 0.1733333333333333, 0.2860829493087557], [0.734073935772965, 0.624655172413793, 0.2876376941457587, 0.3457596371882087], [0.7881067961165049, 0.6738095238095239, 0.41517857142857145, 0.5059982629689388], [0.7862957430918596, 0.6486073006277611, 0.46072177822177823, 0.53359800431229], [0.7860530246452577, 0.6354209486166008, 0.4873977832512315, 0.5458374592979169]]",0.7881067961165049,-0.021893203883495138,0.7636363636363636,0.8666666666666668,0.10303030303030325,0.4873977832512315,-0.35260221674876846,0.5458374592979169,-0.15416254070208302,139.0,380.0
rtbust,C2,0.8755,0.9304,0.9512,"[[0.6868245549545764, 0.6478865844428551, 0.8389901336242799, 0.7279744365123573], [0.6665546395000788, 0.6724755781995603, 0.6953321302955147, 0.6791790590834418], [0.6809641338024471, 0.6758923905887727, 0.7431079964403763, 0.7017507172501064], [0.7186892821509216, 0.705060235413739, 0.7807027577615814, 0.7385959939505766], [0.7084492989549966, 0.7013749535488666, 0.7499260091718065, 0.7202523995253138]]",0.7186892821509216,-0.1568107178490783,0.9406850340136055,0.705060235413739,-0.23562479859986651,0.8389901336242799,-0.09140986637572013,0.7385959939505766,-0.21260400604942342,,
midterm-2018,C3,0.987,0.989,0.995,"[[0.9746726057177378, 0.9836441297945695, 0.9862373608210705, 0.984938658442464], [0.9833195668454939, 0.9861754876329318, 0.9940894759233707, 0.9901097974697504], [0.9865447546078837, 0.9881990716810947, 0.9958789521926683, 0.9920222034531216], [0.9894534632538935, 0.9897183571279337, 0.9978096613824251, 0.9937470444685923], [0.9904032412736822, 0.9897535011105191, 0.998915876594164, 0.9943133255145546]]",0.9904032412736822,0.0034032412736821893,0.9919909274193549,0.9897535011105191,-0.0022374263088358326,0.998915876594164,0.009915876594164041,0.9943133255145546,-0.0006866744854453488,,
gilani,C4,0.8644,0.854,0.822,"[[0.8102938901094743, 0.8438062934029893, 0.6788949923801082, 0.746410491645027], [0.8035689789286531, 0.7709335387122147, 0.7980577507378555, 0.7763211269166148], [0.8273306452260409, 0.8157498316666769, 0.7823235570412463, 0.791688478028385], [0.8277144944360784, 0.8201873877069632, 0.7784655022530071, 0.7957787822681295], [0.8291705602830786, 0.8320860002300563, 0.7571511651202955, 0.7897030583233886]]",0.8291705602830786,-0.035229439716921385,0.8376945107398568,0.8438062934029893,0.006111782663132503,0.7980577507378555,-0.05594224926214453,0.7957787822681295,-0.026221217731870472,,
cresci-2017,C5,0.9871,0.98,0.98,"[[0.9766149495137464, 0.9830057669465452, 0.9862312337685676, 0.9846137923847001], [0.9782157000715278, 0.9830200997220169, 0.9883453487316155, 0.9856749793990985], [0.9781459652673183, 0.9832035241631321, 0.9880748127633805, 0.9856315400288972], [0.9793289369876502, 0.988118009245001, 0.984586109821171, 0.9863445645434055], [0.9816257271513115, 0.988776477640229, 0.986961175655637, 0.9878664310112493]]",0.9816257271513115,-0.005474272848688511,0.98,0.988776477640229,0.008776477640229041,0.9883453487316155,0.00834534873161552,0.9878664310112493,0.007866431011249286,,
cresci-2015,C6,0.991,0.994,0.991,"[[0.9194528287249761, 0.9351086925652069, 0.9377710543128208, 0.936274172421717], [0.9251057311028225, 0.9890984977978006, 0.891379964671601, 0.9376515712359786], [0.9756597772401931, 0.9873543242094867, 0.9738779626866979, 0.9805432948619842], [0.9794362256203204, 0.9888781574989501, 0.9785070024206007, 0.983637974709772], [0.983211960655457, 0.9903676228225861, 0.9830155880415223, 0.9866594524137595]]",0.983211960655457,-0.007788039344542974,0.9924977329974811,0.9903676228225861,-0.0021301101748950613,0.9830155880415223,-0.010984411958477658,0.9866594524137595,-0.004340547586240473,,
caverlee-2011,C6,0.9826,0.89,0.87,"[[0.7653196567448248, 0.9987098953890051, 0.5624640225895776, 0.7196203978249585], [0.9052266741384141, 0.9091619698194414, 0.914456620968197, 0.9117876743053633], [0.9059736737043366, 0.9102564848870367, 0.9146102917986008, 0.912409264412952], [0.9284561037256631, 0.9318203824652074, 0.9348549629938601, 0.9333163812048617], [0.9322874783868574, 0.9242900418635148, 0.951527377105875, 0.9376941751010499]]",0.9322874783868574,-0.05031252161314259,0.8798863636363636,0.9987098953890051,0.11882353175264149,0.951527377105875,0.06152737710587497,0.9376941751010499,0.06769417510104991,19276.0,22223.0
pan19,C7,0.95,,,"[[0.8937117516629712, 0.9448299344960379, 0.8357992604861268, 0.8868898090213564], [0.9072712490761271, 0.9357075890372384, 0.876018171529876, 0.9042705105680277], [0.9242660753880265, 0.9315829553251666, 0.9155748537544653, 0.9233682428164688], [0.9366459719142647, 0.9549519962115343, 0.9165918717698507, 0.9353513350008822], [0.9461034737620103, 0.9646332298412602, 0.9260327148082078, 0.9448899631126485]]",0.9461034737620103,-0.0038965262379896393,0.95,0.9646332298412602,0.014633229841260254,,,,,,
cresci-2017 tweets,C8,0.976,1.0,0.95,"[[0.8937117516629712, 0.9448299344960379, 0.8357992604861268, 0.8868898090213564], [0.9072712490761271, 0.9357075890372384, 0.876018171529876, 0.9042705105680277], [0.9242660753880265, 0.9315829553251666, 0.9155748537544653, 0.9233682428164688], [0.9366459719142647, 0.9549519962115343, 0.9165918717698507, 0.9353513350008822], [0.9461034737620103, 0.9646332298412602, 0.9260327148082078, 0.9448899631126485]]",0.9461034737620103,-0.029896526237989662,0.9743589743589743,0.9646332298412602,-0.00972574451771413,0.9260327148082078,-0.07396728519179219,0.9448899631126485,-0.0051100368873514546,,
yang-2013,C9,0.98,0.96,0.85,"[[0.9156341421228469, 0.5327015519106858, 0.5918847763615909, 0.5598725152854284], [0.9497271483652489, 0.8409276829945036, 0.5484084112163212, 0.6635597154739681], [0.9515455385819825, 0.8705288184820821, 0.5512859789916993, 0.6719526221747145], [0.9526328486223765, 0.8425859271835503, 0.5941465674070748, 0.6939721798558436], [0.9573635597000536, 0.8850426902480159, 0.6116261350589708, 0.7225820116132792]]",0.9573635597000536,-0.02263644029994638,0.9016574585635359,0.8850426902480159,-0.01661476831552,0.6116261350589708,-0.3483738649410292,0.7225820116132792,-0.1274179883867208,,
